iter	Logloss
0	0.6730561585
1	0.6583303441
2	0.6413852409
3	0.6268404611
4	0.6150882931
5	0.5989093317
6	0.5861303229
7	0.5735116736
8	0.5616370054
9	0.5507705617
10	0.5388394489
11	0.5264516321
12	0.5191660071
13	0.5104459012
14	0.5017017638
15	0.4954927972
16	0.4896816575
17	0.4808545625
18	0.4724009712
19	0.4657243701
20	0.4613432346
21	0.4537067609
22	0.4488882862
23	0.4438466331
24	0.4372027656
25	0.4327992597
26	0.4274811925
27	0.4215001799
28	0.4161126201
29	0.4116829602
30	0.4073999792
31	0.401236724
32	0.3971202588
33	0.390924824
34	0.3868997009
35	0.3836983643
36	0.3800294576
37	0.3768893479
38	0.3726885749
39	0.3692111349
40	0.3656284254
41	0.3617278181
42	0.3580843129
43	0.3556400515
44	0.3520824549
45	0.3493779487
46	0.3456836679
47	0.3432794088
48	0.3401259334
49	0.3353721848
50	0.3334148051
51	0.3299846915
52	0.3280110032
53	0.3252961393
54	0.3233621104
55	0.3207172046
56	0.3181248626
57	0.3161253953
58	0.3140861141
59	0.3127500695
60	0.3110175381
61	0.3082382873
62	0.3058923686
63	0.303450316
64	0.3007584995
65	0.2989303169
66	0.2974694909
67	0.295223399
68	0.2917672238
69	0.2904015308
70	0.28828771
71	0.2864031393
72	0.2847410002
73	0.2831286042
74	0.2805571299
75	0.2788847882
76	0.2761906606
77	0.2749624653
78	0.273398411
79	0.2723307198
80	0.2710213551
81	0.2699079717
82	0.2683450949
83	0.2669487184
84	0.2647716452
85	0.2634679854
86	0.262230273
87	0.2605533196
88	0.2595138112
89	0.2585753318
90	0.2569454809
91	0.2560611048
92	0.2544069987
93	0.2517868316
94	0.2507385946
95	0.249500425
96	0.2474199937
97	0.2461637507
98	0.2450344807
99	0.2444111456
100	0.2437352514
101	0.2431478165
102	0.2418609484
103	0.2410049501
104	0.2404146171
105	0.2383648565
106	0.2375381382
107	0.235624022
108	0.2348428244
109	0.2339521895
110	0.2323986339
111	0.231173155
112	0.2300730188
113	0.2292723927
114	0.2286511616
115	0.226708855
116	0.2256887803
117	0.2250617371
118	0.2242462065
119	0.2233603531
120	0.2222974979
121	0.2217859221
122	0.2206889237
123	0.2184408893
124	0.217519589
125	0.2156051702
126	0.2149539794
127	0.2133339171
128	0.2120955953
129	0.2102806725
130	0.2091412631
131	0.2083857697
132	0.2082139025
133	0.207580596
134	0.2065749211
135	0.2056529462
136	0.2050428056
137	0.2044386662
138	0.2039460346
139	0.2023206206
140	0.2013544068
141	0.2001690918
142	0.1991755705
143	0.1982774843
144	0.1971999737
145	0.195436975
146	0.1943625425
147	0.1933602919
148	0.1923451458
149	0.1909043009
150	0.1900798442
151	0.1896075456
152	0.1886362028
153	0.1879743359
154	0.187290322
155	0.1858487
156	0.1847556634
157	0.1834747564
158	0.182739252
159	0.1820028832
160	0.18148703
161	0.1807143281
162	0.1788791644
163	0.1781222949
164	0.1778572925
165	0.1774994308
166	0.176647245
167	0.1753854161
168	0.174061998
169	0.1731421185
170	0.1723542256
171	0.1716360432
172	0.1705085356
173	0.1694723211
174	0.1688626484
175	0.1682949977
176	0.1674068757
177	0.1672303301
178	0.1666821828
179	0.1660508484
180	0.165308535
181	0.1643963314
182	0.1635573706
183	0.1627504744
184	0.1620529725
185	0.1616086871
186	0.1606995816
187	0.1597628788
188	0.159040823
189	0.1586037777
190	0.157847985
191	0.157118751
192	0.1561423387
193	0.1555194895
194	0.1541190541
195	0.1528584089
196	0.1519591027
197	0.1513487131
198	0.1508775027
199	0.1496717687
